kind,class,ref_addr,size,instr_structural,instr_offset_only,instr_const_only,name
FUNC,struct,0x2013be50,260,0,4,0,SampleBrowser::folderContentsReady(long)
FUNC,struct+const,0x2013e734,788,0,1,3,"InstrumentClipView::editNumEuclideanEvents(ModelStackWithNoteRow*, long, long)"
FUNC,struct+const,0x20141a28,316,0,2,2,deluge::gui::menu_item::HorizontalMenu::selectEncoderAction(long)
FUNC,struct,0x20143884,470,0,4,0,"deluge::gui::ui::keyboard::KeyboardScreen::padAction(long, long, long)"
FUNC,struct+const,0x2014b250,120,0,1,3,"SessionView::gridHandlePadsWithMidiLearnPressed(long, long, Clip*) [clone .isra.0]"
FUNC,struct+const,0x2015036c,122,0,3,1,INTC_Handler_Interrupt
FUNC,const,0x20160b44,216,0,0,4,TimeStretcher::beenUnassigned()
FUNC,const,0x20162410,492,0,0,4,"TimeStretcher::setupCrossfadeFromCache(SampleCache*, long, long)"
FUNC,const,0x20169568,392,0,0,4,"deluge::dsp::filter::FilterSet::renderLPFLongStereo(long*, long*) [clone .part.0]"
FUNC,const,0x201696f0,408,0,0,4,"deluge::dsp::filter::FilterSet::renderLPFLong(long*, long*, long) [clone .part.0]"
FUNC,const,0x2016a868,432,0,0,4,"deluge::dsp::filter::FilterSet::renderHPFLong(long*, long*, long) [clone .part.0]"
FUNC,const,0x2016aef8,416,0,0,4,"deluge::dsp::filter::FilterSet::renderHPFLongStereo(long*, long*) [clone .part.0]"
FUNC,const,0x20176acc,136,0,0,4,__register_exitproc
FUNC,struct,0x2006d80c,52,0,3,0,deluge::hid::display::Screensaver::noteActivity()
FUNC,struct,0x2006daf8,68,0,3,0,batteryLEDBlink()
FUNC,struct+const,0x2006dedc,94,0,2,1,"std::_Rb_tree<unsigned char, std::pair<unsigned char const, long>, std::_Select1st<std::pair<unsigned char const, long> >, std::less<unsigned char>, std::allocator<std::pair<unsigned char const, long> > >::_M_get_insert_unique_pos(unsigned char const&) [clone .constprop.0] [clone .isra.0]"
FUNC,struct+const,0x2006dfe4,94,0,2,1,"std::_Rb_tree<unsigned char, std::pair<unsigned char const, Polarity>, std::_Select1st<std::pair<unsigned char const, Polarity> >, std::less<unsigned char>, std::allocator<std::pair<unsigned char const, Polarity> > >::_M_get_insert_unique_pos(unsigned char const&) [clone .constprop.0] [clone .isra.0]"
